week_ending,client_id,client_name,place_name,is_client,place_id,total_reviews,rating,new_reviews,days_in_period,rank_by_total,rank_by_new,streak_weeks,pace_per_week,status
2026-09-21T20:59:51.625Z,murgatroyd-holmes-opticians,Murgatroyd Holmes Opticians,Murgatroyd Holmes Opticians,yes,ChIJHbD_FLubeUgRvos7zInLEm0,26,5,,,5,,0,,ok
2026-09-21T20:59:51.625Z,murgatroyd-holmes-opticians,Murgatroyd Holmes Opticians,The Chesterfield Eye Centre,no,ChIJB_nTkcaaeUgRuIx6BgWFTl8,33,3.9,,,4,,0,,ok
2026-09-21T20:59:51.625Z,murgatroyd-holmes-opticians,Murgatroyd Holmes Opticians,Elliott & Heath Opticians and Audiologists,no,ChIJf4shtjqFeUgRaIEqMy3cru0,35,4.7,,,3,,0,,ok
2026-09-21T20:59:51.625Z,murgatroyd-holmes-opticians,Murgatroyd Holmes Opticians,Parker Opticians,no,ChIJM1M5b-qZeUgRzdmRq0NRK9I,76,4.9,,,2,,0,,ok
2026-09-21T20:59:51.625Z,murgatroyd-holmes-opticians,Murgatroyd Holmes Opticians,Insight Opticians,no,ChIJ_VrTJjeFeUgRR-xNjCdtCMk,108,5,,,1,,0,,ok
2026-09-21T20:59:51.625Z,murgatroyd-holmes-opticians,Murgatroyd Holmes Opticians,Oculi Opticians,no,ChIJI7dXEMWFeUgR9YN8jf3-ZQc,23,5,,,6,,0,,ok
2026-09-21T20:59:51.625Z,murgatroyd-opticians,Murgatroyd Opticians,Murgatroyd Opticians Ltd,yes,ChIJQwZWJ05zeUgRQ714j_cNuSM,11,4.9,,,5,,0,,ok
2026-09-21T20:59:51.625Z,murgatroyd-opticians,Murgatroyd Opticians,T English Opticians,no,ChIJUdUfea51eUgR9tfX5Fuxdn0,11,4.2,,,6,,0,,ok
2026-09-21T20:59:51.625Z,murgatroyd-opticians,Murgatroyd Opticians,Priority Eyecare,no,ChIJ7Z3iX9ANeUgRPi_c6Z-jkpE,16,5,,,4,,0,,ok
2026-09-21T20:59:51.625Z,murgatroyd-opticians,Murgatroyd Opticians,Parkhurst and Co Styling Opticians,no,ChIJOaFZLbxzeUgRDMzyAp3OWdE,21,4.8,,,3,,0,,ok
2026-09-21T20:59:51.625Z,murgatroyd-opticians,Murgatroyd Opticians,ASDA Opticians,no,ChIJdafi-D10eUgRKVSJHZfud-s,32,4,,,2,,0,,ok
2026-09-21T20:59:51.625Z,murgatroyd-opticians,Murgatroyd Opticians,Moorhouse Opticians,no,ChIJowdhiaJzeUgR71WBv8ktbTA,39,5,,,1,,0,,ok
